Year,Month,Total_Investment,Unique_Startups,Revenue,Expenses,New_Customers,Marketing_Spend,CAC,Revenue_per_Customer,LTV,Burn_Rate,LTV_CAC_Ratio
2018.0,9.0,601090000.0,11,360654000.0,420763000.0,1100,42076300.0,38251.181818181816,327867.2727272727,3934407.2727272725,60109000.0,102.85714285714286
2018.0,10.0,52880000.0,6,31728000.0,37016000.0,600,3701600.0,6169.333333333333,52880.0,634560.0,5288000.0,102.85714285714286
2018.0,11.0,497115995.0,17,298269597.0,347981196.5,1700,34798119.65,20469.48214705882,175452.70411764705,2105432.4494117647,49711599.5,102.85714285714288
2018.0,12.0,57715000.0,7,34629000.0,40400500.0,700,4040050.0,5771.5,49470.0,593640.0,5771500.0,102.85714285714286
2019.0,1.0,137000000.0,3,82200000.0,95900000.0,300,9590000.0,31966.666666666668,274000.0,3288000.0,13700000.0,102.85714285714285
2019.0,2.0,226600000.0,2,135960000.0,158620000.0,200,15862000.0,79310.0,679800.0,8157600.0,22660000.0,102.85714285714286
2019.0,4.0,115793355.0,13,69476013.0,81055348.5,1300,8105534.850000001,6235.0268076923085,53443.086923076924,641317.0430769231,11579335.5,102.85714285714285
2019.0,5.0,408968600.0,7,245381160.0,286278020.0,700,28627802.0,40896.86,350544.5142857143,4206534.171428571,40896860.0,102.85714285714286
2019.0,6.0,297152710.21999997,15,178291626.13199997,208006897.15399995,1500,20800689.715399995,13867.12647693333,118861.08408799997,1426333.0090559996,29715271.021999985,102.85714285714285
2019.0,7.0,296794605.0,13,178076763.0,207756223.5,1300,20775622.35,15981.247961538462,136982.12538461538,1643785.5046153846,29679460.5,102.85714285714286
2019.0,8.0,4531770000.0,16,2719062000.0,3172239000.0,1600,317223900.0,198264.9375,1699413.75,20392965.0,453177000.0,102.85714285714286
2019.0,9.0,502800000.0,9,301680000.0,351960000.0,900,35196000.0,39106.666666666664,335200.0,4022400.0,50280000.0,102.85714285714286
2019.0,10.0,630000000.0,2,378000000.0,441000000.0,200,44100000.0,220500.0,1890000.0,22680000.0,63000000.0,102.85714285714286
2019.0,11.0,2062797265.0,14,1237678359.0,1443958085.5,1400,144395808.55,103139.86325000001,884055.9707142857,10608671.648571428,206279726.5,102.85714285714285
2019.0,12.0,476900000.0,10,286140000.0,333830000.0,1000,33383000.0,33383.0,286140.0,3433680.0,47690000.0,102.85714285714286
2020.0,1.0,390207254.0,7,234124352.4,273145077.8,700,27314507.78,39020.7254,334463.36057142855,4013560.3268571426,39020725.400000006,102.85714285714285
